,Ekstraklasa,EPL,Liga Portugal
Posiadanie (%),0.09877800071678682,0.11424709321812684,0.12820989558323123
Liczba podań,0.1314198264915611,0.14360603733255123,0.19606446972895114
Długie podania (% podań),0.19893096148305253,0.21096376284989204,0.26939329943340734
Podania w ostatniej tercji (% podań),0.06293250267144221,0.08655944195976795,0.12218076696604825
