League,N_matches_fit,Home_adv_gamma,SD_strength,R2_strength_PPG,Obs_ASD,MC_mean_ASD,MC_p_value_low,MC_pred_ASD_from_means
Ekstraklasa,306,0.4221025607322726,0.2174100590944951,0.8376008620284134,6.821579774310637,9.62980412477137,0.0214,6.57868827763719
La Liga,380,0.3982516325039511,0.38092460974908626,0.9470614310747658,15.815419690921896,14.601299671310716,0.8062,12.668265936914965
EPL,380,0.378184942931763,0.38747090531960776,0.9327631521680122,15.425952158618928,14.046355350266397,0.8322,11.998392844693827
Ligue 1,305,0.40078851371920177,0.41480086578471065,0.9629987438635758,15.505574465532481,13.748060720564936,0.8944,11.939277847921813
Bundesliga,306,0.5047455951116891,0.44963158580285184,0.9626805806048865,17.134273644754636,14.700441170004737,0.9662,13.118630466216198
Serie A,380,0.16445421606389865,0.5126607147839797,0.9445893860496862,17.797401495724035,17.14792345198142,0.678,15.603588297500675
