Team,PrevRank,CurrRank,Diff,AbsDiff,Kind
Paris SG,1,1,0,0,stayed
Lens,8,2,6,6,stayed
Lille,5,3,2,2,stayed
Lyon,6,4,2,2,stayed
Rennes,12,5,7,7,stayed
Marseille,2,6,-4,4,stayed
Monaco,3,7,-4,4,stayed
Strasbourg,7,8,-1,1,stayed
Lorient,16,9,7,7,promoted
Toulouse,10,10,0,0,stayed
Paris FC,17,11,6,6,promoted
Brest,9,12,-3,3,stayed
Angers,14,13,1,1,stayed
Le Havre,15,14,1,1,stayed
Auxerre,11,15,-4,4,stayed
Nice,4,16,-12,12,stayed
Nantes,13,17,-4,4,stayed
Metz,18,18,0,0,promoted
