League,N_matches,Odds_source,Brier_multi,Brier_favwin,Reliability,Resolution,Uncertainty,FavWinRate,Mean_p_max
EPL,380,AvgCH,0.6077241981544571,0.2392032003314838,0.00504683197317035,0.015815930810661627,0.24997229916897507,0.49473684210526314,0.5174234220784688
La Liga,380,AvgCH,0.5716523502721969,0.22803303537415395,0.0049185688575076715,0.02488414844180247,0.24799861495844874,0.5447368421052632,0.5023646402008682
Bundesliga,306,AvgCH,0.5618184045532181,0.2312507501137381,0.007457570226764455,0.021934958863079734,0.2457281387500534,0.565359477124183,0.5154647516757562
Serie A,380,AvgCH,0.5831366269661824,0.23691408424000635,0.007901450448713588,0.01942919446355488,0.24844182825484765,0.5394736842105263,0.5171354555149117
Ligue 1,305,AvgCH,0.581350606909194,0.23670507971928975,0.004240839110640524,0.016114098547491615,0.24857833915614083,0.5377049180327869,0.5267177125139263
Ekstraklasa,297,AvgCH,0.6450452408942138,0.23623537574170173,0.013481237946564665,0.020985163183221182,0.24373930097835825,0.4208754208754209,0.4584821528344856
