Rank,Team,P,W,D,L,GF,GA,Pts,GD,PPG,Season
6,Radomiak Radom,34,11,15,8,42,40,48,2,1.411764705882353,2021/2022
7,Wisla Plock,34,15,3,16,48,51,48,-3,1.411764705882353,2021/2022
8,Gornik Z.,34,13,8,13,55,55,47,0,1.3823529411764706,2021/2022
9,Cracovia,34,12,10,12,40,42,46,-2,1.3529411764705883,2021/2022
10,Legia,34,13,4,17,46,48,43,-2,1.2647058823529411,2021/2022
11,Warta Poznan,34,11,9,14,35,38,42,-3,1.2352941176470589,2021/2022
12,Jagiellonia,34,9,13,12,39,50,40,-11,1.1764705882352942,2021/2022
13,Zaglebie,34,11,5,18,43,59,38,-16,1.1176470588235294,2021/2022
14,Stal Mielec,34,9,10,15,39,52,37,-13,1.088235294117647,2021/2022
15,Slask Wroclaw,34,7,14,13,42,52,35,-10,1.0294117647058822,2021/2022
16,Termalica B-B.,34,7,11,16,36,56,32,-20,0.9411764705882353,2021/2022
17,Wisla,34,7,10,17,37,54,31,-17,0.9117647058823529,2021/2022
18,Leczna,34,6,10,18,29,60,28,-31,0.8235294117647058,2021/2022
1,Rakow,34,23,6,5,63,24,75,39,2.2058823529411766,2022/2023
2,Legia,34,19,9,6,57,37,66,20,1.9411764705882353,2022/2023
3,Lech Poznan,34,17,10,7,51,29,61,22,1.7941176470588236,2022/2023
4,Pogon Szczecin,34,17,9,8,57,46,60,11,1.7647058823529411,2022/2023
5,Piast Gliwice,34,15,8,11,40,31,53,9,1.5588235294117647,2022/2023
6,Cracovia,34,12,10,12,41,35,46,6,1.3529411764705883,2022/2023
7,Warta Poznan,34,12,9,13,37,35,45,2,1.3235294117647058,2022/2023
8,Zaglebie,34,12,9,13,35,44,45,-9,1.3235294117647058,2022/2023
9,Radomiak Radom,34,12,8,14,34,41,44,-7,1.2941176470588236,2022/2023
10,Stal Mielec,34,11,10,13,36,40,43,-4,1.2647058823529411,2022/2023
11,Jagiellonia,34,9,14,11,48,49,41,-1,1.2058823529411764,2022/2023
12,Korona Kielce,34,11,8,15,39,48,41,-9,1.2058823529411764,2022/2023
13,Widzew Lodz,34,11,8,15,38,47,41,-9,1.2058823529411764,2022/2023
14,Slask Wroclaw,34,9,11,14,35,48,38,-13,1.1176470588235294,2022/2023
15,Wisla Plock,34,10,7,17,41,50,37,-9,1.088235294117647,2022/2023
16,Lechia Gdansk,34,8,6,20,28,56,30,-28,0.8823529411764706,2022/2023
17,Gornik Z.,25,7,7,11,32,38,28,-6,1.12,2022/2023
18,Legnica,34,4,11,19,33,55,23,-22,0.6764705882352942,2022/2023
19,Gornik Zabrze,9,6,2,1,13,5,20,8,2.2222222222222223,2022/2023
1,Jagiellonia,34,18,9,7,77,45,63,32,1.8529411764705883,2023/2024
2,Slask Wroclaw,34,18,9,7,50,31,63,19,1.8529411764705883,2023/2024
3,Legia,34,16,11,7,51,39,59,12,1.7352941176470589,2023/2024
4,Pogon Szczecin,34,16,7,11,59,38,55,21,1.6176470588235294,2023/2024
5,Lech Poznan,34,14,11,9,47,41,53,6,1.5588235294117647,2023/2024
6,Gornik Zabrze,34,15,8,11,45,41,53,4,1.5588235294117647,2023/2024
7,Rakow,34,14,10,10,54,39,52,15,1.5294117647058822,2023/2024
8,Zaglebie,34,13,8,13,43,50,47,-7,1.3823529411764706,2023/2024
9,Widzew Lodz,34,13,7,14,45,46,46,-1,1.3529411764705883,2023/2024
10,Piast Gliwice,34,9,16,9,38,35,43,3,1.2647058823529411,2023/2024
11,Stal Mielec,34,11,10,13,42,48,43,-6,1.2647058823529411,2023/2024
12,Puszcza,34,9,13,12,39,49,40,-10,1.1764705882352942,2023/2024
13,Cracovia,34,8,15,11,45,46,39,-1,1.1470588235294117,2023/2024
14,Korona Kielce,34,8,14,12,40,44,38,-4,1.1176470588235294,2023/2024
15,Radomiak Radom,34,10,8,16,41,58,38,-17,1.1176470588235294,2023/2024
16,Warta Poznan,34,9,10,15,33,43,37,-10,1.088235294117647,2023/2024
17,Ruch Chorzow,34,6,14,14,40,55,32,-15,0.9411764705882353,2023/2024
18,LKS Lodz,34,6,6,22,34,75,24,-41,0.7058823529411765,2023/2024
1,Lech Poznan,34,22,4,8,68,31,70,37,2.0588235294117645,2024/2025
2,Rakow,34,20,9,5,51,23,69,28,2.0294117647058822,2024/2025
3,Jagiellonia,34,17,10,7,56,42,61,14,1.7941176470588236,2024/2025
4,Pogon Szczecin,34,17,7,10,59,40,58,19,1.7058823529411764,2024/2025
5,Legia,34,15,9,10,60,45,54,15,1.588235294117647,2024/2025
6,Cracovia,34,14,9,11,58,53,51,5,1.5,2024/2025
7,GKS Katowice,34,14,7,13,49,47,49,2,1.4411764705882353,2024/2025
8,Motor Lublin,34,14,7,13,48,59,49,-11,1.4411764705882353,2024/2025
9,Gornik Zabrze,34,13,8,13,43,39,47,4,1.3823529411764706,2024/2025
10,Piast Gliwice,34,11,12,11,37,36,45,1,1.3235294117647058,2024/2025
11,Korona Kielce,34,11,12,11,37,45,45,-8,1.3235294117647058,2024/2025
12,Radomiak Radom,34,11,8,15,48,52,41,-4,1.2058823529411764,2024/2025
13,Widzew Lodz,34,11,7,16,38,49,40,-11,1.1764705882352942,2024/2025
14,Lechia Gdansk,34,10,7,17,44,59,37,-15,1.088235294117647,2024/2025
15,Zaglebie,34,10,6,18,33,51,36,-18,1.0588235294117647,2024/2025
16,Stal Mielec,34,7,10,17,39,56,31,-17,0.9117647058823529,2024/2025
17,Slask Wroclaw,34,6,12,16,38,53,30,-15,0.8823529411764706,2024/2025
18,Puszcza,34,6,10,18,37,63,28,-26,0.8235294117647058,2024/2025
1,Lech Poznan,34,16,12,6,62,45,60,17,1.7647058823529411,2025/2026
2,Jagiellonia,34,15,11,8,56,41,56,15,1.6470588235294117,2025/2026
3,Gornik Zabrze,34,16,8,10,50,38,56,12,1.6470588235294117,2025/2026
4,Rakow,34,16,7,11,51,40,55,11,1.6176470588235294,2025/2026
5,GKS Katowice,34,14,8,12,51,45,50,6,1.4705882352941178,2025/2026
6,Legia,34,12,13,9,42,37,49,5,1.4411764705882353,2025/2026
7,Zaglebie,34,13,9,12,45,38,48,7,1.411764705882353,2025/2026
8,Wisla Plock,34,12,10,12,34,38,46,-4,1.3529411764705883,2025/2026
9,Pogon Szczecin,34,13,6,15,47,49,45,-2,1.3235294117647058,2025/2026
10,Radomiak Radom,34,11,11,12,52,53,44,-1,1.2941176470588236,2025/2026
11,Korona Kielce,34,11,10,13,40,40,43,0,1.2647058823529411,2025/2026
12,Lechia Gdansk,34,12,7,15,62,65,43,-3,1.2647058823529411,2025/2026
13,Motor Lublin,34,10,13,11,46,53,43,-7,1.2647058823529411,2025/2026
14,Widzew Lodz,34,12,6,16,41,41,42,0,1.2352941176470589,2025/2026
15,Cracovia,34,9,15,10,39,42,42,-3,1.2352941176470589,2025/2026
16,Piast Gliwice,34,11,8,15,42,46,41,-4,1.2058823529411764,2025/2026
17,Arka Gdynia,34,9,9,16,34,61,36,-27,1.0588235294117647,2025/2026
18,Termalica B-B.,34,9,7,18,43,65,34,-22,1.0,2025/2026
