Season,Teams,Matches,Games_per_team,Completed,Pts_mean,Pts_top,Pts_bot,Pts_range,ASD,CV,NollScully,Gini,HHI_norm,Entropy_WDL_bits,DrawRate,HomeWinRate,AwayWinRate,HomeAdv_goals,AvgGoals,Pred_n_matches,Pred_Brier,Pred_LogLoss,Pred_UpsetRate,Pred_FavWinRate
2012/2013,16,240,30.0,True,41.0625,67.0,31.0,36.0,9.946536771660778,0.24222920600695957,1.378922197379688,0.12433409436833794,0.003911665882850783,1.5630804770100388,0.2625,0.4041666666666667,0.3333333333333333,0.19166666666666668,2.4916666666666667,240,0.6326100016344502,1.0522617779345322,0.5333333333333333,0.4666666666666667
2013/2014,16,296,37.0,False,49.9375,81.0,30.0,51.0,11.583764230594475,0.2319652411633437,1.4460301398406223,0.12054130162703143,0.0035871915405312057,1.5398844861214838,0.30067567567567566,0.44932432432432434,0.25,0.42567567567567566,2.6554054054054053,296,0.6205590898016832,1.034169042724332,0.5371621621621622,0.46283783783783783
2014/2015,16,296,37.0,False,50.5,70.0,36.0,34.0,10.00624804809475,0.19814352570484656,1.2491048657612263,0.1068997524752454,0.0026173904519164754,1.5357930899802197,0.2702702702702703,0.4594594594594595,0.2702702702702703,0.31756756756756754,2.668918918918919,296,0.6237503655134792,1.0360513158840625,0.5168918918918919,0.4831081081081081
2015/2016,16,296,37.0,False,49.9375,73.0,36.0,37.0,10.334824321196757,0.20695518039943445,1.2901218602963112,0.11412703379223801,0.002855363112944165,1.568564071818575,0.30067567567567566,0.40540540540540543,0.2939189189189189,0.28378378378378377,2.6283783783783785,296,0.6547627724563295,1.0803891867363078,0.5844594594594594,0.4155405405405405
2016/2017,16,296,37.0,False,50.8125,73.0,37.0,36.0,11.975071763876825,0.2356717690307862,1.4948780338247287,0.12476937269372448,0.0037027455145400177,1.5407238110717487,0.2533783783783784,0.44932432432432434,0.2972972972972973,0.41216216216216217,2.7432432432432434,296,0.6073636709606441,1.0135954165991576,0.5,0.5
2017/2018,16,296,37.0,False,50.25,70.0,33.0,37.0,10.59186008215743,0.21078328521706327,1.3222082745194472,0.12033582089551999,0.0029619728884598593,1.5500555832444975,0.28378378378378377,0.4391891891891892,0.27702702702702703,0.32094594594594594,2.6385135135135136,296,0.6405475920720886,1.0630625015235697,0.5574324324324325,0.44256756756756754
2018/2019,16,296,37.0,False,51.0,72.0,29.0,43.0,11.022703842524301,0.21613144789263336,1.375991574200849,0.12055759803921332,0.0031141868512110835,1.5378436484546727,0.24324324324324326,0.44932432432432434,0.30743243243243246,0.2195945945945946,2.7804054054054053,296,0.6271701159226098,1.043008405899635,0.5236486486486487,0.47635135135135137
2019/2020,16,296,37.0,False,51.1875,69.0,24.0,45.0,10.75417796719024,0.21009383086085937,1.3424708203827949,0.10981379731379522,0.002942627851052763,1.51502597353752,0.23310810810810811,0.4797297297297297,0.28716216216216217,0.44256756756756754,2.5912162162162162,296,0.6129194809005523,1.0219051076154781,0.5067567567567568,0.49324324324324326
2020/2021,16,240,30.0,True,40.875,64.0,25.0,39.0,9.923929413291894,0.24278726393374664,1.3757880624546766,0.12996941896024147,0.003929710368562311,1.5651653138474317,0.275,0.4083333333333333,0.31666666666666665,0.15416666666666667,2.4541666666666666,240,0.6383211269082341,1.0578925475401628,0.5291666666666667,0.4708333333333333
2021/2022,18,306,34.0,True,46.333333333333336,74.0,28.0,46.0,12.7758452644912,0.27573766757894674,1.663714042437353,0.15347721822541635,0.004472427136581048,1.548692243822987,0.27450980392156865,0.4411764705882353,0.28431372549019607,0.32679738562091504,2.673202614379085,306,0.6086947537579631,1.0143521960920094,0.5261437908496732,0.4738562091503268
2022/2023,19,306,32.21052631578947,False,44.05263157894737,75.0,20.0,55.0,13.877181892780628,0.31501368693289356,1.8566535305789416,0.17418097214361672,0.005512979053058619,1.5576082144165557,0.2647058823529412,0.4215686274509804,0.3137254901960784,0.2679738562091503,2.477124183006536,306,0.6006577361647826,1.0053971081024282,0.5032679738562091,0.49673202614379086
2023/2024,18,306,34.0,True,45.833333333333336,63.0,24.0,39.0,10.420332688227058,0.22735271319768124,1.3569711797039956,0.12855218855218573,0.003040544482255721,1.5506931337197951,0.30392156862745096,0.434640522875817,0.26143790849673204,0.4019607843137255,2.689542483660131,306,0.6408162403536829,1.05849125888683,0.5784313725490196,0.4215686274509804
2024/2025,18,306,34.0,True,46.72222222222222,70.0,28.0,42.0,12.068349585937385,0.25829999113777996,1.5715815477956685,0.1463205179019654,0.0039246403189280655,1.5412418983908716,0.25163398692810457,0.4477124183006536,0.3006535947712418,0.3300653594771242,2.7549019607843137,306,0.6132571374976777,1.0210238732281578,0.5196078431372548,0.4803921568627451
2025/2026,18,306,34.0,True,46.27777777777778,60.0,34.0,26.0,6.821579774310637,0.14740508515917342,0.8883293298542637,0.08196611978124403,0.00127813289004607,1.5420189622714535,0.2777777777777778,0.45098039215686275,0.27124183006535946,0.4150326797385621,2.735294117647059,297,0.6450452408942138,1.0700454416063885,0.5791245791245792,0.4208754208754209
