League,Season,Teams,Matches,Games_per_team_mean,Pts_mean,Pts_top,Pts_bot,Pts_range,ASD,CV,NollScully,Gini,HHI_norm,Entropy_WDL_bits,DrawRate,HomeWinRate,AwayWinRate,HomeAdv_goals,AvgGoals,BlowoutRate,OneGoalRate,Pred_src,Pred_n_matches,Pred_Brier,Pred_LogLoss,Pred_UpsetRate
EPL,2025/2026,20,380,38.0,51.8,85.0,20.0,65.0,15.425952158618928,0.2977983042204426,1.9001534713790202,0.16138996138995826,0.004667569999819534,1.5570901010447287,0.2736842105263158,0.4263157894736842,0.3,0.3026315789473684,2.75,0.35,0.3763157894736842,AvgCH,380,0.6077241981544571,1.011745272621233,0.5052631578947369
La Liga,2025/2026,20,380,38.0,52.35,94.0,29.0,65.0,15.815419690921896,0.30210925866135424,1.9481276953287179,0.15286532951289103,0.004803684429942787,1.5095801660754953,0.24473684210526317,0.48947368421052634,0.2657894736842105,0.45263157894736844,2.694736842105263,0.33421052631578946,0.42105263157894735,AvgCH,380,0.5716523502721969,0.9649792672189915,0.4552631578947368
Bundesliga,2025/2026,18,306,34.0,46.833333333333336,89.0,26.0,63.0,17.13427364475464,0.3658563767563268,2.2312834164462476,0.2006722024515576,0.007873581671368663,1.5442868655662334,0.24509803921568626,0.43790849673202614,0.31699346405228757,0.3202614379084967,3.235294117647059,0.4084967320261438,0.3464052287581699,AvgCH,306,0.5618184045532181,0.9510054747479105,0.434640522875817
Serie A,2025/2026,20,380,38.0,52.05,87.0,18.0,69.0,17.797401495724035,0.3419289432415761,2.1922662462512053,0.19293948126800778,0.006153442222436885,1.5654925361661476,0.26052631578947366,0.3894736842105263,0.35,0.12631578947368421,2.4263157894736844,0.32105263157894737,0.41842105263157897,AvgCH,380,0.5831366269661824,0.9787286215118383,0.4605263157894737
Ligue 1,2025/2026,18,297,33.0,45.5,76.0,16.0,60.0,15.628499608087784,0.3434835078700612,2.0658025722561844,0.19583502916835818,0.006940054128160147,1.528302086194459,0.24242424242424243,0.46464646464646464,0.29292929292929293,0.367003367003367,2.8181818181818183,0.367003367003367,0.39057239057239057,AvgCH,297,0.5721324019492711,0.9613556178346492,0.4511784511784511
Ekstraklasa,2012/2013,16,240,30.0,41.0625,67.0,31.0,36.0,9.946536771660778,0.24222920600695957,1.378922197379688,0.12433409436833794,0.003911665882850783,1.5630804770100388,0.2625,0.4041666666666667,0.3333333333333333,0.19166666666666668,2.4916666666666667,0.32083333333333336,0.4166666666666667,AvgCH,240,0.6326100016344502,1.0522617779345322,0.5333333333333333
Ekstraklasa,2013/2014,16,296,37.0,49.9375,81.0,30.0,51.0,11.583764230594475,0.2319652411633437,1.4460301398406223,0.12054130162703143,0.0035871915405312057,1.5398844861214838,0.30067567567567566,0.44932432432432434,0.25,0.42567567567567566,2.6554054054054053,0.33783783783783783,0.3614864864864865,AvgCH,296,0.6205590898016832,1.034169042724332,0.5371621621621622
Ekstraklasa,2014/2015,16,296,37.0,50.5,70.0,36.0,34.0,10.00624804809475,0.19814352570484656,1.2491048657612263,0.1068997524752454,0.0026173904519164754,1.5357930899802197,0.2702702702702703,0.4594594594594595,0.2702702702702703,0.31756756756756754,2.668918918918919,0.3547297297297297,0.375,AvgCH,296,0.6237503655134792,1.0360513158840625,0.5168918918918919
Ekstraklasa,2015/2016,16,296,37.0,49.9375,73.0,36.0,37.0,10.334824321196757,0.20695518039943445,1.2901218602963112,0.11412703379223801,0.002855363112944165,1.568564071818575,0.30067567567567566,0.40540540540540543,0.2939189189189189,0.28378378378378377,2.6283783783783785,0.36486486486486486,0.3344594594594595,AvgCH,296,0.6547627724563295,1.0803891867363078,0.5844594594594594
Ekstraklasa,2016/2017,16,296,37.0,50.8125,73.0,37.0,36.0,11.975071763876825,0.2356717690307862,1.4948780338247287,0.12476937269372448,0.0037027455145400177,1.5407238110717487,0.2533783783783784,0.44932432432432434,0.2972972972972973,0.41216216216216217,2.7432432432432434,0.3716216216216216,0.375,AvgCH,296,0.6073636709606441,1.0135954165991576,0.5
Ekstraklasa,2017/2018,16,296,37.0,50.25,70.0,33.0,37.0,10.59186008215743,0.21078328521706327,1.3222082745194472,0.12033582089551999,0.0029619728884598593,1.5500555832444975,0.28378378378378377,0.4391891891891892,0.27702702702702703,0.32094594594594594,2.6385135135135136,0.34459459459459457,0.3716216216216216,AvgCH,296,0.6405475920720886,1.0630625015235697,0.5574324324324325
Ekstraklasa,2018/2019,16,296,37.0,51.0,72.0,29.0,43.0,11.022703842524301,0.21613144789263336,1.375991574200849,0.12055759803921332,0.0031141868512110835,1.5378436484546727,0.24324324324324326,0.44932432432432434,0.30743243243243246,0.2195945945945946,2.7804054054054053,0.375,0.38175675675675674,AvgCH,296,0.6271701159226098,1.043008405899635,0.5236486486486487
Ekstraklasa,2019/2020,16,296,37.0,51.1875,69.0,24.0,45.0,10.75417796719024,0.21009383086085937,1.3424708203827949,0.10981379731379522,0.002942627851052763,1.51502597353752,0.23310810810810811,0.4797297297297297,0.28716216216216217,0.44256756756756754,2.5912162162162162,0.32094594594594594,0.44594594594594594,AvgCH,296,0.6129194809005523,1.0219051076154781,0.5067567567567568
Ekstraklasa,2020/2021,16,240,30.0,40.875,64.0,25.0,39.0,9.923929413291894,0.24278726393374664,1.3757880624546766,0.12996941896024147,0.003929710368562311,1.5651653138474317,0.275,0.4083333333333333,0.31666666666666665,0.15416666666666667,2.4541666666666666,0.29583333333333334,0.42916666666666664,AvgCH,240,0.6383211269082341,1.0578925475401628,0.5291666666666667
Ekstraklasa,2021/2022,18,306,34.0,46.333333333333336,74.0,28.0,46.0,12.7758452644912,0.27573766757894674,1.663714042437353,0.15347721822541635,0.004472427136581048,1.548692243822987,0.27450980392156865,0.4411764705882353,0.28431372549019607,0.32679738562091504,2.673202614379085,0.3431372549019608,0.38235294117647056,AvgCH,306,0.6086947537579631,1.0143521960920094,0.5261437908496732
Ekstraklasa,2022/2023,19,306,32.21052631578947,44.05263157894737,75.0,20.0,55.0,13.877181892780628,0.31501368693289356,1.8566535305789416,0.17418097214361672,0.005512979053058619,1.5576082144165557,0.2647058823529412,0.4215686274509804,0.3137254901960784,0.2679738562091503,2.477124183006536,0.3464052287581699,0.3888888888888889,AvgCH,306,0.6006577361647826,1.0053971081024282,0.5032679738562091
Ekstraklasa,2023/2024,18,306,34.0,45.833333333333336,63.0,24.0,39.0,10.420332688227058,0.22735271319768124,1.3569711797039956,0.12855218855218573,0.003040544482255721,1.5506931337197951,0.30392156862745096,0.434640522875817,0.26143790849673204,0.4019607843137255,2.689542483660131,0.33986928104575165,0.3562091503267974,AvgCH,306,0.6408162403536829,1.05849125888683,0.5784313725490196
